filename,pages
The_Hague_1683.pdf,524
The_Hague_1758.pdf,406
Tours_1593.pdf,182
Turin_1671.pdf,838
UQI2BV.pdf,163
Uppsala_1642.pdf,387
Urbino_1575.pdf,575
Utrecht_1647.pdf,258
Valencia_1569.pdf,137
Valencia_1673.pdf,203
Venice_1482.pdf,284
Venice_1491.pdf,146
Venice_1498a.pdf,313
Venice_1505.pdf,482
Venice_1505_vol2.pdf,173
Venice_1509.pdf,353
Venice_1510.pdf,475
Venice_1543.pdf,493
Venice_1565.pdf,636
Venice_1569.pdf,634
Venice_1575.pdf,309
Venice_1585.pdf,634
Venice_1586.pdf,642
Venice_1647.pdf,269
Vienna_1694.pdf,397
Wittenberg_1564.pdf,263
Wittenberg_1609.pdf,612
Wittenberg_1634.pdf,613
Würzburg_1661.pdf,843
bib-123.pdf,147
bib-147.pdf,104
bib-151.pdf,74
bib-152.pdf,296
bib-156.pdf,280
bib-20.pdf,116
bib-223.pdf,232
bib-224.pdf,68
bib-225.pdf,57
bib-23.pdf,382
bib-239.pdf,266
bib-246.pdf,630
bib-247.pdf,238
bib-248.pdf,220
bib-26.pdf,442
bib-27.pdf,448
bib-276.pdf,319
bib-33.pdf,310
bib-34.pdf,170
bib-36.pdf,240
bib-39.pdf,300
bib-40.pdf,254
bib-45.pdf,822
bib-48.pdf,82
bib-77.pdf,146
bib-8.pdf,216
bib-87.pdf,130
bib-91.pdf,170
ms_1.pdf,391
ms_143.pdf,449
ms_150.pdf,456
ms_157.pdf,127
ms_158.pdf,78
ms_76.pdf,181
s.l_1650.pdf,1
